Num;Country;Total Cases;New Cases;Total Deaths;New Deaths;Total Recovered;Active Cases;Serious Critical;Total Cases per 1M pop;Deaths per 1M pop;Total Tests;Tests per 1M pop;Population 
2;Spain;455621;;29011;;N/A;N/A;751;9744;620;8517446;182161;46757783
3;UK;332752;;41498;;N/A;N/A;60;4897;611;16273209;239508;67944393
4;France;27253;;30602;;86177;155751;387;4174;469;6175223;94571;65297356
5;Italy;266853;;35473;;208224;23156;79;4415;587;8509618;140778;60447003
6;Germany;242825;;9363;;217484;15978;245;2897;112;11208091;133703;83828051
7;Ukraine;119074;2096;2527;35;56734;59813;177;2725;58;1536171;35161;43689434
